1,F,1,10,48067,58,2438,19,3,0
2,M,56,16,70072,29,1931,11,8,7
3,M,25,15,55117,10,2713,88,0,5
4,M,45,7,02460,73,2819,60,3,5
5,M,25,20,55455,75,2796,85,3,5
6,F,50,9,55117,82,1587,59,4,6
7,M,35,1,06810,59,1734,25,6,4
8,M,25,12,11413,38,2588,17,5,0
9,M,25,17,61614,53,567,58,3,9
10,F,35,1,95370,50,1434,14,7,7
11,F,25,1,04093,22,2269,38,3,1
12,M,25,12,32793,14,1149,32,4,6
13,M,45,1,93304,62,2182,31,6,8
14,M,35,0,60126,42,3809,9,6,1
15,M,25,7,22903,39,3547,68,2,8
16,F,35,0,20670,40,1172,99,4,9
17,M,50,1,95350,63,2797,97,8,6
18,F,18,3,95825,58,2941,24,3,1
19,M,1,10,48073,36,1762,46,3,4
20,M,25,14,55113,53,3658,23,1,7
21,M,18,16,99353,72,1017,8,1,9
22,M,18,15,53706,76,3807,84,4,3
23,M,35,0,90049,94,530,75,7,9
24,F,25,7,10023,41,2942,15,0,3
25,M,18,4,01609,69,1081,18,8,3
26,M,25,7,23112,67,2089,49,8,4
27,M,25,11,19130,14,1006,47,1,1
28,F,25,1,14607,11,3325,51,2,8
29,M,35,7,33407,33,1906,10,6,4
30,F,35,7,19143,99,596,76,2,7
31,M,56,7,06840,44,1482,12,3,1
32,F,25,0,19355,18,2502,50,7,1
33,M,45,3,55421,56,450,10,6,3
34,F,18,0,02135,76,1709,93,9,3
35,M,45,1,02482,66,136,26,2,6
36,M,25,3,94123,69,1000,97,9,9
37,F,25,9,66212,62,1984,73,0,1
38,F,18,4,02215,5,972,75,6,2
39,M,18,4,61820,45,155,8,3,5
40,M,45,0,10543,17,3642,58,2,0
41,F,18,4,15116,94,928,33,3,0
42,M,25,8,24502,98,2642,18,3,9
43,M,25,12,60614,5,366,10,9,3
44,M,45,17,98052,51,474,71,8,3
45,F,45,16,94110,48,3752,34,4,2
46,M,18,19,75602,96,281,30,1,3
47,M,18,4,94305,35,2937,75,8,3
48,M,25,4,92107,1,2014,73,6,0
49,M,18,12,77084,30,3026,68,0,9
50,F,25,2,98133,68,2692,38,7,8
51,F,1,10,10562,10,3329,40,9,8
52,M,18,4,72212,66,1902,54,9,7
53,M,25,0,96931,64,1322,25,0,7
54,M,50,1,56723,41,1228,39,6,0
55,F,35,12,55303,4,3769,28,0,7
56,M,35,20,60440,76,2150,78,9,4
57,M,18,19,30350,64,3868,4,1,8
58,M,25,2,30303,28,75,32,9,3
59,F,50,1,55413,3,3111,72,9,2
60,M,50,1,72118,6,1321,98,7,4
61,M,25,17,95122,99,3166,32,9,5
62,F,35,3,98105,21,1561,17,4,0
63,M,18,4,54902,30,2954,35,3,0
64,M,18,1,53706,100,3527,78,8,6
65,M,35,12,55803,43,3633,63,4,0
66,M,25,18,57706,27,2814,47,9,1
67,F,50,5,60181,18,2546,0,1,3
68,M,18,4,53706,16,828,0,7,0
69,F,25,1,02143,37,676,25,4,0
70,M,18,4,53703,34,693,20,4,0
71,M,25,14,95008,86,868,83,7,2
72,F,45,0,55122,73,2463,72,5,8
73,M,18,4,53706,8,3537,74,4,1
74,M,35,14,94530,29,60,5,3,7
75,F,1,10,01748,67,799,12,8,7
76,M,35,7,55413,78,2033,75,4,0
77,M,18,4,15321,61,2696,50,9,5
78,F,45,1,98029,26,1156,99,8,8
79,F,45,0,98103,50,1358,11,2,8
80,M,56,1,49327,13,127,98,3,7
81,F,25,0,60640,56,1162,75,3,3
82,M,25,17,48380,45,1055,6,6,8
83,F,25,2,94609,69,1262,75,3,9
84,M,18,4,53140,68,2430,50,1,0
85,M,18,4,94945,29,704,84,4,5
86,F,1,10,54467,24,2461,43,7,7
87,M,25,14,48360,17,1557,75,2,7
88,F,45,1,02476,54,561,7,5,3
89,F,56,9,85749,72,226,36,0,1
90,M,56,13,85749,87,3003,41,2,4
91,M,35,7,07650,59,2927,73,6,4
92,F,18,4,44243,20,876,43,5,9
93,M,25,17,95825,48,2619,18,1,9
94,M,25,17,28601,58,2599,66,8,8
95,M,45,0,98201,86,3170,24,6,3
96,F,25,16,78028,88,896,52,0,7
97,F,35,3,66210,75,2419,98,1,1
98,F,35,7,33547,82,2147,21,8,1
99,F,1,10,19390,95,211,14,2,8
100,M,35,17,95401,31,1788,48,4,4
101,F,18,3,33314,13,2421,19,9,8
102,M,35,19,20871,56,2686,5,1,8
103,M,45,7,92104,89,299,94,4,0
104,M,25,12,00926,68,62,42,5,3
105,M,45,12,90277,44,3308,32,8,9
106,F,35,11,79101,29,467,57,6,6
107,M,45,18,63129,13,656,8,8,1
108,M,25,12,30316,91,3894,55,2,6
109,M,45,15,92028,72,3721,21,9,5
110,M,25,2,90803,74,1941,57,0,8
111,M,35,15,55416,25,1974,41,5,0
112,M,25,16,97209,19,1156,61,1,8
113,M,18,12,37032,13,251,90,2,4
114,F,25,2,83712,95,3772,82,5,5
115,M,25,17,28083,6,172,82,7,3
116,M,25,17,55744,28,1432,25,4,1
117,M,25,17,33314,9,668,10,5,0
118,M,35,17,22315,66,1972,35,1,8
119,F,1,10,77515,5,2360,48,1,9
120,M,25,11,27106,58,2008,88,6,1
121,M,35,7,75229,36,2739,3,3,0
122,F,18,4,94305,13,2724,0,1,0
123,M,35,9,67208,15,1275,67,1,8
124,M,56,7,91356,2,183,59,4,7
125,M,45,14,01701,7,42,57,5,6
126,M,18,9,98117,50,131,52,7,7
127,F,45,3,01770,70,368,69,0,5
128,M,56,6,37922,81,3768,22,9,1
129,M,25,11,20164,99,2801,83,5,0
130,M,35,17,50021,98,3119,75,0,0
131,M,18,4,06520,63,973,7,7,0
132,M,25,17,99709,79,358,3,0,6
133,F,25,0,55071,29,2074,51,2,4
134,M,25,0,66212,50,2515,38,2,5
135,M,18,4,20006,68,2091,49,4,7
136,M,18,2,21202,18,1199,41,0,0
137,F,45,6,78758,97,1321,29,9,4
138,M,18,20,22203,23,2275,65,7,2
139,F,25,20,45409,10,2801,29,8,9
140,F,35,1,55107,81,2852,46,6,7
141,M,35,13,62035,91,2287,53,6,9
142,M,25,7,10011,58,1997,98,9,7
143,M,18,3,64043,12,2149,48,5,1
144,M,25,17,29401,2,2721,59,5,6
145,M,18,4,19081,39,730,3,3,7
146,F,35,20,10954,39,3143,92,0,9
147,M,18,4,91360,8,1731,35,9,2
148,M,50,17,57747,35,2359,10,5,1
149,M,25,1,29205,63,3349,68,2,8
150,M,35,7,98144,76,3713,55,7,4
151,F,25,20,85013,26,2656,13,2,2
152,M,18,4,48104,88,2161,22,6,7
153,M,1,10,51537,7,686,88,4,5
154,M,50,20,94530,44,712,20,3,5
155,M,35,12,07470,83,2102,44,6,3
156,F,45,7,14519,47,2162,38,2,3
157,M,35,16,12866,60,912,71,0,1
158,M,56,7,28754,73,3692,40,2,1
159,F,45,0,37922,60,939,79,7,0
160,M,35,7,13021,35,819,86,1,6
161,M,45,16,98107-2117,73,60,31,5,5
162,F,18,4,93117,77,2298,18,6,3
163,M,18,4,85013,36,493,11,8,5
164,F,56,13,94566,69,605,98,2,8
165,M,18,16,98502,34,2922,48,2,2
166,M,18,4,92802,16,1555,30,2,7
167,F,25,11,10022,85,921,50,4,1
168,F,50,0,46970,12,3812,62,1,8
169,M,25,7,55439,42,448,27,7,2
170,M,25,11,07002,98,2257,73,3,9
171,F,50,17,55441,77,3731,72,7,7
172,M,25,3,07661,42,973,13,8,4
173,M,25,0,45237,99,1132,8,8,6
174,M,25,16,21203,25,2032,55,6,6
175,F,25,2,95123,85,3269,99,7,9
176,F,18,3,55016,53,1234,71,9,5
177,M,50,1,54016,30,3817,93,1,1
178,M,56,17,53705,20,3921,14,6,2
179,M,25,0,02135,92,2850,55,6,1
180,M,45,12,01603,2,2177,95,3,0
181,M,18,17,33186,71,339,68,4,4
182,M,18,4,03052,48,456,3,3,7
183,F,45,1,55407,76,3068,65,0,7
184,F,25,0,19001,4,1303,54,5,7
185,M,45,0,14468,81,2208,89,1,9
186,M,18,5,91767,19,1486,66,6,1
187,F,45,1,94061,18,2817,50,3,1
188,M,56,16,79930,90,3155,52,2,3
189,M,18,0,60076,56,368,23,1,7
190,M,25,17,55125,0,1032,48,2,1
191,M,18,4,04915,68,3004,8,5,1
192,M,18,1,10977,19,2920,43,0,3
193,F,45,15,44106,93,568,10,4,8
194,F,1,10,29146,84,718,10,9,7
195,M,25,12,10458,100,1883,36,2,2
196,F,35,9,94587,81,662,12,6,8
197,M,18,14,10023,63,2458,55,2,2
198,M,25,12,55108,98,1233,7,5,2
199,M,18,4,83706,40,3161,24,7,3
200,F,18,4,84321,95,94,2,7,7
201,F,35,2,55117,18,1677,15,6,1
202,M,18,4,53706,91,2796,84,0,6
203,F,18,4,53715,41,3263,26,3,7
204,M,25,7,92123,58,1984,21,0,6
205,M,35,12,97333,94,3721,51,2,2
206,M,25,17,20194,55,1214,40,5,9
207,M,25,12,94115,52,501,39,9,1
208,M,35,17,55432,69,3403,85,8,0
209,M,35,1,90048,90,1085,71,9,6
210,F,1,10,25801,73,2903,60,8,5
211,M,45,17,90620,83,1471,84,1,7
212,M,25,16,53714,28,1716,8,2,4
213,F,18,4,01609,52,309,8,3,0
214,M,18,20,80218,74,2230,5,6,5
215,M,35,14,92075,2,3441,77,0,0
216,M,45,13,52761,69,2715,60,8,5
217,M,18,4,22903,35,197,51,2,5
218,M,35,14,95822,33,23,91,2,5
219,F,25,4,55113,87,2284,98,0,8
220,M,25,12,22903,92,3850,93,1,4
221,F,25,0,94063,64,3326,77,0,9
222,M,25,1,55116,87,2368,1,8,6
223,M,25,17,28262,69,1901,85,9,7
224,F,18,4,14850,25,3044,8,5,2
225,M,25,7,11215,27,2722,90,2,4
226,M,35,1,94518,79,1138,89,7,1
227,M,35,20,90291,38,3803,97,1,6
228,M,25,15,55455,74,2392,33,1,4
229,M,18,10,04576,56,194,8,5,7
230,M,45,1,43210,58,1575,39,6,2
231,M,25,3,55455,77,22,16,5,4
232,M,25,20,55408,8,738,9,5,8
233,F,45,20,37919-4204,25,2955,90,0,6
234,M,35,7,39652,62,1388,74,7,9
235,M,25,0,98153,93,3304,14,6,2
236,M,25,5,55126,18,2804,45,1,2
237,M,25,6,46835,15,1895,32,1,7
238,F,50,7,90291,68,3065,72,4,1
239,M,18,19,94618,96,2319,86,7,1
240,M,50,17,55113,66,3868,82,5,0
241,M,35,20,55121,57,2094,95,6,8
242,F,18,4,53706,74,2180,72,5,6
243,M,25,16,11576,98,2376,13,2,8
244,M,50,7,19072,93,113,70,2,3
245,M,35,16,66046,33,1366,91,5,4
246,F,18,4,60625,93,1058,45,2,7
247,M,25,17,94404,29,2552,47,9,1
248,M,18,17,72703,96,1408,98,7,9
249,F,18,14,48126,78,1901,30,9,2
250,M,35,16,11229,96,3578,64,0,8
251,M,56,17,55105,22,759,97,6,7
252,M,25,12,94112,57,1748,91,1,0
253,F,25,11,97370,10,3863,94,4,6
254,M,35,17,49015,31,816,78,5,1
255,M,35,0,85310,47,1499,32,0,0
256,M,45,16,55076,65,833,35,1,9
257,M,18,18,55113,91,3670,95,7,8
258,M,25,7,55436,33,3410,90,4,2
259,M,25,1,60615,76,1471,77,9,2
260,M,18,19,98126,42,2540,72,6,1
261,M,25,20,75801,35,3648,17,4,8
262,F,25,1,68503,33,3143,10,3,8
263,F,25,7,22304,99,2082,75,1,8
264,M,35,0,20755,24,1775,90,2,6
265,F,35,7,55116,79,1328,27,8,3
266,M,35,11,75229,8,3655,57,8,5
267,M,45,12,55001,78,3204,83,1,7
268,F,18,12,29708,38,3725,69,4,8
269,M,25,2,55408,25,952,52,4,3
270,M,50,14,55414,85,2729,76,9,6
271,M,18,4,48202,74,495,54,8,9
272,M,18,0,80302,40,3520,46,9,7
273,M,18,4,55427,49,199,77,7,3
274,M,18,4,55455,80,1747,59,3,3
275,M,25,0,48162,51,1185,85,9,2
276,M,45,16,01982,31,1489,82,3,5
277,F,35,1,98126,15,3248,17,8,0
278,M,45,18,60482,82,3792,86,8,1
279,M,25,14,91214,33,1274,5,6,0
280,M,50,7,19118,3,1773,20,0,4
281,F,35,0,94117,96,271,59,6,2
282,M,25,17,94401,62,1328,14,8,2
283,M,25,0,10003,15,1537,12,0,6
284,M,25,12,91910,100,851,92,3,3
285,F,35,0,94109,27,1607,48,7,0
286,M,25,1,54601,60,2202,67,3,6
287,M,50,13,94706,88,3328,29,3,5
288,F,25,12,97119,88,3350,26,2,0
289,F,25,0,11801,99,3290,52,9,0
290,F,25,20,94591,1,2873,46,0,9
291,M,35,12,55110,81,2630,90,4,8
292,M,35,7,19406,97,2150,72,6,5
